socio_label,q_label,likert_col,H_stat,kw_p_value,epsilon_sq,effect_label,group_1,group_2,dunn_p_bonferroni
Obrig./Opcional,Q1,Entendi como o experiência de aprendizado se conectou com os objetivos da empresa.,5.268712811117324,0.02171206163506552,0.018749867655221793,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.02171206163506445
Obrig./Opcional,Q3,O conteúdo da experiência de aprendizado atendeu às necessidades da minha função.,25.300345371787028,4.906208903265908e-07,0.09003681626970472,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",4.906208903265793e-07
Obrig./Opcional,Q4,O conteúdo da experiência de aprendizado foi adaptado ao meu nível de experiência.,10.6464589473472,0.0011028185145260634,0.03788775426102207,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.0011028185145261482
Obrig./Opcional,Q5,Minha opinião foi considerada na criação da experiência de aprendizado que participei.,24.025183653795967,9.508387377145091e-07,0.08549887421279703,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",9.508387377145335e-07
Obrig./Opcional,Q7,A experiência de aprendizado foi importante para me manter competitivo(a) no mercado.,29.98253369875775,4.359555628887173e-08,0.10669940818063256,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",4.359555628887122e-08
Obrig./Opcional,Q8,O que aprendi na experiência de aprendizado me motivou a buscar novos conhecimentos.,32.824407090133334,1.008703672883382e-08,0.11681283661969158,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",1.00870367288332e-08
Obrig./Opcional,Q10,Tive tempo suficiente durante o expediente para participar da experiência de aprendizado e estudar.,5.67898936014361,0.017169254797755752,0.02020992654855377,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.017169254797755912
Obrig./Opcional,Q11,Participei desta experiência de aprendizado mais por obrigação do que por interesse no conteúdo.,67.33668770575294,2.288822920958233e-16,0.2396323405898681,grande,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",2.2888229209582324e-16
Obrig./Opcional,Q12,"A empresa ofereceu incentivos claros para a participação nesta experiência de aprendizado (ex: bônus, folgas, ressarcimento de custos, pontuação em avaliação de desempenho).",16.823533079725067,4.102143688568281e-05,0.059870224483007356,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",4.102143688568193e-05
Obrig./Opcional,Q13,"A empresa costuma reconhecer os funcionários que se desenvolvem e concluem treinamentos (ex: através de certificados, elogios públicos, comunicados).",8.646119642763104,0.0032775865770336148,0.030769109048979018,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.0032775865770337223
Obrig./Opcional,Q14,A experiência de aprendizado que participei foi bem organizado e estruturado.,7.2832056876613365,0.006960221690963274,0.025918881450752086,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.006960221690963084
Obrig./Opcional,Q15,Os materiais que recebi para a experiência de aprendizado foram úteis.,13.897504133686947,0.00019305466162246733,0.049457310084295186,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.000193054661622459
Obrig./Opcional,Q16,O ambiente da experiência de aprendizado (físico ou virtual) foi adequado para o aprendizado.,4.241620286605145,0.039444505554364184,0.015094734116032545,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.03944450555436707
Obrig./Opcional,Q17,A explicação do instrutor foi clara e fácil de entender.,4.816766188847331,0.028184174660162188,0.017141516686289434,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.028184174660163812
Obrig./Opcional,Q18,A atuação do instrutor foi fundamental para o meu aprendizado e motivação.,26.68065910739562,2.4001196887774947e-07,0.0949489647950022,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",2.400119688777463e-07
Obrig./Opcional,Q19,As atividades durante a experiência de aprendizado foram interessantes e variadas.,24.736899939867556,6.571392618081661e-07,0.0880316723838703,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",6.571392618081593e-07
Obrig./Opcional,Q20,A experiência de aprendizado continha uma parte relevante dedicada ao desenvolvimento de soft skills (habilidades comportamentais).,16.44101612048889,5.018745813739291e-05,0.058508954165440885,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",5.018745813739284e-05
Obrig./Opcional,Q21,Fiquei satisfeito(a) com a qualidade da experiência de aprendizado que participei.,40.7290869603752,1.7486485019120766e-10,0.14494336996574803,grande,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",1.7486485019121303e-10
Obrig./Opcional,Q22,A experiência de aprendizado me ajudou a desenvolver meu raciocínio para resolver problemas.,34.73345715600518,3.780777851091581e-09,0.12360660909610384,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",3.780777851091581e-09
Obrig./Opcional,Q23,Aplicar o que aprendi na experiência de aprendizado melhorou meu desempenho.,26.78854261318964,2.269790929401079e-07,0.09533289186188484,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",2.2697909294009153e-07
Obrig./Opcional,Q24,Consigo aplicar no meu trabalho o que aprendi na experiência de aprendizado.,9.984735148438647,0.0015784325665051152,0.03553286529693469,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.0015784325665051183
Obrig./Opcional,Q25,O que aprendi na experiência de aprendizado me deu mais autonomia no trabalho.,17.1932977467913,3.37625415221973e-05,0.06118611297790497,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",3.376254152219865e-05
Obrig./Opcional,Q26,O suporte da minha liderança foi um incentivo para eu aplicar o que aprendi.,21.863786286421433,2.927060289306532e-06,0.07780706863495172,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",2.9270602893066295e-06
Obrig./Opcional,Q27,A experiência de aprendizado que realizei abriu oportunidades de crescimento na empresa (promoção ou aumento salarial).,19.91674619982789,8.088868305517687e-06,0.0708781003552594,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",8.088868305517539e-06
Estado,Q10,Tive tempo suficiente durante o expediente para participar da experiência de aprendizado e estudar.,30.39986980647678,0.004122919021394495,0.11217664135231284,médio,Minas Gerais (MG),Sergipe (SE),0.0012448085627969519
Experiência,Q15,Os materiais que recebi para a experiência de aprendizado foram úteis.,13.54507867111727,0.018772569082296683,0.049076371996801704,pequeno,Entre 7 e 8 anos.,Mais de 8 anos.,0.021648893314530522
Experiência,Q23,Aplicar o que aprendi na experiência de aprendizado melhorou meu desempenho.,18.729387886157944,0.0021584147385484433,0.06786010103680415,médio,Até um ano.,Entre 3 e 4 anos.,0.04983614137871722
Experiência,Q23,Aplicar o que aprendi na experiência de aprendizado melhorou meu desempenho.,18.729387886157944,0.0021584147385484433,0.06786010103680415,médio,Entre 1 e 2 anos.,Entre 3 e 4 anos.,0.04199922329223384
Experiência,Q23,Aplicar o que aprendi na experiência de aprendizado melhorou meu desempenho.,18.729387886157944,0.0021584147385484433,0.06786010103680415,médio,Entre 1 e 2 anos.,Mais de 8 anos.,0.031264017618605436
Experiência,Q25,O que aprendi na experiência de aprendizado me deu mais autonomia no trabalho.,18.041103472140932,0.002895329217431641,0.06536631692804686,médio,Entre 1 e 2 anos.,Mais de 8 anos.,0.024184521331063254
Nível Prof.,Q27,A experiência de aprendizado que realizei abriu oportunidades de crescimento na empresa (promoção ou aumento salarial).,13.376426848874393,0.020095362403594254,0.047772953031694265,pequeno,Júnior,Sênior,0.009079887924844066
Área Atuação,Q20,A experiência de aprendizado continha uma parte relevante dedicada ao desenvolvimento de soft skills (habilidades comportamentais).,22.793899931509152,0.0018513131473167019,0.08199244579679552,médio,Arquitetura,Gestão de Pessoas / Projetos,0.006391551231507716
Área Atuação,Q20,A experiência de aprendizado continha uma parte relevante dedicada ao desenvolvimento de soft skills (habilidades comportamentais).,22.793899931509152,0.0018513131473167019,0.08199244579679552,médio,Gestão de Pessoas / Projetos,Área de dados,0.012152713610785714
